Asus K7V	2000	133	N	N	N	500	AGP	DDR	None
FIC AZ11E	2000	133	N	N	N	495	AGP	DDR	None
Abit KT6	2000	133	N	N	N	490	AGP	DDR	None
Soyo SY-6BA+	2000	440	N	N	N	504	AGP	DDR	None
MSI MS-6163	2000	440	N	N	N	516	AGP	DDR	None
Asus P3B-F	2000	440	N	N	N	509	AGP	DDR	None
Abit BX133	2000	440	N	N	N	607	AGP	DDR	None
Intel Solano i815E	2000	815	N	N	N	505	AGP	DDR	None
Asus 7VX KX133	2000	133	N	N	N	533	AGP	DDR	None
Gigabyte GA-7ZX	2000	133	N	N	N	499	AGP	DDR	None
Asus CUSL2	2000	815	N	N	N	621	AGP	DDR	None
MSI BX Master	2000	440	N	N	N	573	AGP	DDR	None
FastFame 8IFK	2001	845	N	Y	N	609	AGP	DDR	None
Elitegroup K7VTA3	2001	266	Y	N	N	654	AGP	DDR	None
Soltek SL-75DRV	2001	845	Y	Y	N	700	AGP	DDR	None
Abit BD7	2001	845	Y	Y	N	712	AGP	DDR	None
Supermicro P4SDA+	2001	845	N	Y	N	741	AGP	DDR	None
Epox EP-4BDA	2001	845	Y	Y	N	645	AGP	DDR	None
Asus P4B266-SE	2001	845	Y	Y	N	739	AGP	DDR	None
PC Partner 845AS4-237	2001	845	Y	N	N	599	AGP	DDR	None
AOpen AX4B Pro	2001	845	Y	Y	N	695	AGP	DDR	None
FIC AN11	2001	266	Y	Y	N	573	AGP	DDR	None
DFI NB70-SC	2001	845	Y	Y	N	633	AGP	DDR	None
Elitegroup P4IBAD	2001	845	Y	Y	N	640	AGP	DDR	None
SuperGrace 845 A3D	2001	845	Y	N	N	613	AGP	DDR	None
FIC VC15	2001	845	Y	Y	N	634	AGP	DDR	None
Intel D845BG	2001	845	N	Y	N	658	AGP	DDR	None
Jetway I402	2001	845	Y	Y	N	644	AGP	DDR	None
MSI 845 Ultra-AR	2001	845	Y	Y	N	702	AGP	DDR	None
Shuttle HOT-AB40	2001	845	Y	Y	N	625	AGP	DDR	None
MSI KT3 Ultra-ARU	2002	333	Y	Y	Y	730	AGP	DDR	None
Epox 8K3A+	2002	333	Y	Y	Y	655	AGP	DDR	None
DFI AD73	2001	266	Y	Y	N	584	AGP	DDR	None
Gigabyte GA-7VRXP	2002	333	Y	N	N	711	AGP	DDR	None
Asus A7V266	2001	266	Y	Y	Y	658	AGP	DDR	None
Lucky Star K7VA333	2002	333	Y	N	N	661	AGP	DDR	None
Soyo SY-K7V	2002	333	Y	Y	Y	706	AGP	DDR	None
Jetway 866AS-R	2001	266	Y	Y	N	570	AGP	DDR	None
Gigabyte GA-8PE667 Ultra	2002	845	Y	Y	Y	793	AGP	DDR	None
Asus P4PE	2002	845	Y	Y	Y	757	AGP	DDR	None
Epox 4GEA+	2002	845	Y	Y	Y	763	AGP	DDR	None
Soltek SL-85DR3-L	2002	845	Y	Y	Y	766	AGP	DDR	None
MSI 845PE MAX2-R	2002	845	Y	Y	Y	780	AGP	DDR	None
