Micron PC1300 CAS2	2000	529	128	166	DDR
Corsair CAS	2000	379	32	166	DDR
Corsair CAS2	2000	659	128	166	DDR
Kingston KHX3200AK2	2003	892	512	400	DDR
OCZ PC1300	2001	407	64	166	DDR
Kingmax MPXB62D-68KX3	2004	349	256	400	DDR
Corsair XMS3200	2003	550	256	400	DDR
Jetram JM334D643A-5L=JC	2003	315	256	400	DDR
PQI MD44256PQP	2003	312	256	333	DDR
Hynix HY5DU56822AT-043	2004	310	512	400	DDR
Kingmax MPXB62D-38KT3R	2004	317	512	400	DDR
OCZ PC1600	2001	659	128	200	DDR
Kingmax MPXB58D-68KX	2002	349	128	400	DDR
Hynix HY5DU56811AT-048	2002	310	128	266	DDR
Hynix HY6DU66833AT-057	2004	428	1024	400	DDR
Corsair XMS Xpert	2005	1273	512	400	DDR
Hynix HY5DU56822DT	2005	328	512	400	DDR
Patriot PSD512400	2005	438	512	400	DDR
Corsair XMS2-4200	2004	618	512	533	DDR2
Micron PC2-4300U	2005	634	512	533	DDR2
Kingston ValueRam PC2-4200	2005	468	512	533	DDR2
GeiL Ultra Platinum PC2-4200	2005	397	512	533	DDR2
TwinMos PC2-4300	2004	624	512	533	DDR2
Crusial CT6464Z40B.M8FD	2006	287	512	400	DDR
Kingmax Speedi MPXC22D	2006	389	512	400	DDR
Samsung M368L6423FUN-CCC	2006	264	512	400	DDR
Kingston KVR400X64C3A	2006	297	512	400	DDR
Corsair CM2X512A-5400UL	2006	823	512	667	DDR2
Super Talent T800UX2GC4	2006	904	1024	800	DDR2
Patriot PDC22G7200ELK	2006	933	1024	800	DDR2
Apacer DDRII-800	2006	879	512	800	DDR2
Kingmax KLDC28F-A8HD5	2006	814	512	800	DDR2
Apacer DDRII-667	2006	776	512	667	DDR2
TwinMos 8D22JB-MK	2006	659	512	533	DDR2
Kingston KVR667D2N5K2	2006	803	512	667	DDR2
AENEON AET560UD00-370A98X	2006	309	256	533	DDR2
Hynix HYMP-232U648-C4	2006	411	256	533	DDR2
Samsung M378T335CZ3-CD5	2006	458	256	533	DDR2
Corsair CM2X512-8500UL	2006	978	512	1066	DDR2
Kingston KHX6400D2LLK2/2G	2006	1054	1024	800	DDR2
Kingmax LKDC28F-A8HD5	2006	539	256	800	DDR2
