Toshiba CD-M1402	2000	0	0	0	0	40	428
Samsung SC148-F	2000	0	0	0	0	48	480
Sony CRX195E4	2002	0	0	40	12	48	399
AOpen CRW4048	2002	0	0	40	12	48	437
Asus CRW-5232AS-U	2004	0	0	52	32	52	492
Teac DV-W58GK	2004	8	4	40	24	40	880
NEC ND-2500A	2004	8	4	32	16	40	550
Pioneer DVR-A07	2004	8	4	24	24	40	1128
TDK DVW-A020106E	2002	2	1	8	4	24	1269
Asus CRW5224	2003	0	0	52	24	52	473
MSI CR52	2003	0	0	52	32	52	358
Iomega SuperDVD Writer	2003	4	2	24	10	32	953
LG GSA-4081B	2004	8	4	24	16	32	694
Sony DRU-530A	2004	8	4	40	24	40	821
Acer CRW-2010A	2001	0	0	20	10	40	466
Intenso 24x	2001	0	0	24	10	40	551
LG GCE-8320B	2001	0	0	32	10	40	704
Yamaha CRW2200	2001	0	0	20	12	40	737
NEC NR-7900A	2001	0	0	24	10	40	528
Sony CRX175E	2001	0	0	24	10	40	483
MSI MS-8348A	2002	0	0	48	16	48	398
BTC 1610IM	2001	0	0	16	10	40	315
NEC NR-7700A	2002	0	0	12	10	32	404
Samsung SW224	2001	0	0	24	10	40	459
Ricoh MP7200ADP	2001	0	0	20	10	40	550
Plextor PlexWriter	2001	0	0	40	12	40	864
NEC NR-7800B	2001	0	0	16	10	40	477
Mitsumi CD-RW 4809TE	2001	0	0	24	12	40	573
AOpen RW5120A	2001	8	2	12	10	32	2310
Yamaha CRW-F1	2002	0	0	44	24	44	726
NEC ND 1300A	2003	4	2	16	10	40	590
Sony DRU-500A	2003	4	2	24	10	32	842
Toshiba SD-R5002	2003	2	1	15	10	40	497
Teac DV-W50E	2003	4	2	16	8	32	772
Philips PCRW4012	2002	0	0	40	12	48	401
LG GMA-4020B	2003	2	1	12	8	32	694
AOpen DUW1608 Chameleon	2004	16	8	48	32	48	2637
Samsung SW-216B	2001	0	0	16	10	32	294
NEC CD-3002A	2003	0	0	0	0	52	199
NEC NR-7800A	2002	0	0	16	10	40	448
Asus CRW5224A	2003	0	0	52	24	52	351
LiteOn LTR-52246S	2003	0	0	52	24	52	377
Plextor PX-W4824TA	2003	0	0	48	24	48	426
Mitsumi CR-487ETE	2003	0	0	52	24	52	349
LG GCE-8520B	2003	0	0	52	24	52	356
MSI CR52-A2	2003	0	0	52	24	52	380
BenQ CRW5224P	2003	0	0	52	24	52	350
BTC 5224IM	2003	0	0	52	24	52	332
Arrgo CWA99D	2003	0	0	52	24	52	402
Samsung SW-240B	2002	0	0	40	12	40	372
Teac CD-W552E	2003	0	0	52	24	52	377
Plextor PX-32A	2000	0	0	12	10	32	687
Samsung SW-252B	2003	0	0	52	24	52	376
Sony CRX220E1	2003	0	0	52	24	52	353
HP dvd 100i	2001	8	4	12	10	32	2444
Samsung SW-248B	2002	0	0	48	12	48	405
Mitsumi CR-485CTE	2002	0	0	40	20	48	381
Acer CRW2410A	2002	0	0	24	10	40	378
TDK VeloCD	2002	0	0	40	12	48	548
MSI StarSpeed MS-8320	2002	0	0	20	10	40	401
AOpen CRW2440	2002	0	0	24	10	40	570
Asus CRW-4816A	2002	0	0	48	16	48	412
NEC NR-7500A	2002	0	0	8	4	32	295
Samsung SW-232	2002	0	0	32	10	40	408
HP dvd 300i	2004	4	2	16	10	40	1213
Gigabyte GO-W040A	2003	4	2	40	24	40	996
Plextor PX-712A	2005	12	8	48	24	48	713
BenQ DW1620	2005	16	16	40	24	40	605
LG GSA-4120B	2005	12	8	40	24	40	599
MSI DR16B	2005	16	16	40	24	40	652
LiteOn SOHW-1213S	2005	12	8	48	24	48	644
LG GSA-4082B	2005	8	8	24	16	32	459
Pioneer DVR-A07XLA	2005	8	8	24	24	40	562
Samsung TS-H552	2005	16	12	48	32	48	603
TDK AID+1616N	2005	16	16	48	16	48	587
Gigabyte GO-W1616A	2005	16	8	48	24	48	654
LG GSA-4163B	2005	16	8	40	24	40	581
Toshiba R5372	2005	16	4	48	24	48	485
Plextor PX-716SA	2005	16	8	48	24	48	752
Teac DV-W516GB	2005	16	8	48	24	40	606
Sony DW-D26A	2005	16	8	48	24	40	538
Asus DRW-1608P	2005	16	8	40	24	40	663
NU DDW-164	2005	16	4	40	24	40	479
NEC ND-3540A	2005	16	8	48	32	48	498
Panasonic SW-9585-C	2005	16	8	40	24	40	551
AOpen DUW-1608/ARR	2005	16	8	48	32	48	525
Yamaha CRW3200	2001	0	0	24	10	40	611
Samsung SD-612	2001	0	0	24	10	40	507
Plextor PX-755A	2006	16	8	48	24	48	623
BenQ DW 1640	2006	16	8	48	32	48	586
LG GSA-H10N	2007	16	8	48	24	48	379
